city,temperature,feels_like,humidity,wind_speed,description,timestamp
"Gainesville,FL,US",79.56,79.56,56,10.36,clear sky,2024-10-31 18:10
"Miami,FL,US",80.29,83.7,72,11.5,broken clouds,2024-10-31 18:10
"Orlando,FL,US",79.3,79.3,67,12.66,clear sky,2024-10-31 18:10
"Tampa,FL,US",82.17,83.26,52,13.8,few clouds,2024-10-31 18:10
"Jacksonville,FL,US",78.4,79.2,69,14.97,scattered clouds,2024-10-31 18:10
